item_number,accessory_group,accessory_part_number,accessory_description,accessory_image_url,raw_value
R07-100-RNKG,Fittings,C02250618,"Pneufit C push-in fitting, adaptor, straight, G1/8, 6mm",https://cdn.norgren.com/images/243x/PH_FI_C02250405_w.jpg,"C02250618|https://cdn.norgren.com/images/243x/PH_FI_C02250405_w.jpg|Pneufit C push-in fitting, adaptor, straight, G1/8, 6mm"
R07-100-RNKG,Fittings,C02470618,"Pneufit C push-in fitting, swivel adaptor, elbow, G1/8, 6mm",https://cdn.norgren.com/images/243x/PH_FI_C02470405_w.jpg,"C02470618|https://cdn.norgren.com/images/243x/PH_FI_C02470405_w.jpg|Pneufit C push-in fitting, swivel adaptor, elbow, G1/8, 6mm"
R07-100-RNKG,Fittings,C02670618,"Pneufit C push-in fitting, swivel adaptor, tee, G1/8, 6mm",https://cdn.norgren.com/images/243x/PH_FI_C02670405_w.jpg,"C02670618|https://cdn.norgren.com/images/243x/PH_FI_C02670405_w.jpg|Pneufit C push-in fitting, swivel adaptor, tee, G1/8, 6mm"
R07-100-RNKG,Gauges,18-015-989,"Gauge, R1/8 thread, 0-10 bar",https://cdn.norgren.com/images/243x/CB_Gauge_180_13_989.jpg,"18-015-989|https://cdn.norgren.com/images/243x/CB_Gauge_180_13_989.jpg|Gauge, R1/8 thread, 0-10 bar"
R07-100-RNKG,Mountings,18-025-003,07 series neck mounting brack and nut,https://cdn.norgren.com/images/243x/Neck_Mounting_Bracket_18_025_003.jpg,18-025-003|https://cdn.norgren.com/images/243x/Neck_Mounting_Bracket_18_025_003.jpg|07 series neck mounting brack and nut
R07-100-RNKG,Mountings,2962-04,Panel Nut for 07 Series (Metal),https://cdn.norgren.com/images/243x/PH_2962-04_5-16-16.jpg,2962-04|https://cdn.norgren.com/images/243x/PH_2962-04_5-16-16.jpg|Panel Nut for 07 Series (Metal)
R07-100-RNKG,Mountings,2962-89,Panel Nut for 07 Series (Plastic),https://cdn.norgren.com/images/243x/Panel_Mounting_Nut.jpg,2962-89|https://cdn.norgren.com/images/243x/Panel_Mounting_Nut.jpg|Panel Nut for 07 Series (Plastic)
R07-100-RNKG,Service Kits,R07-KITR,Service kit R07,https://cdn.norgren.com/images/243x/R07_KITR--2.jpg,R07-KITR|https://cdn.norgren.com/images/243x/R07_KITR--2.jpg|Service kit R07
R07-100-RNKG,Tubing,PA2-0006025C,"Polyamide tube, natural, 25m, 6mm/4mm",https://cdn.norgren.com/images/243x/PH_OT_PA2_0008025C_243.jpg,"PA2-0006025C|https://cdn.norgren.com/images/243x/PH_OT_PA2_0008025C_243.jpg|Polyamide tube, natural, 25m, 6mm/4mm"
R07-100-RNKG,Tubing,PA2-0706025C,"Polyamide tube, black, 25m, 6mm/4mm",https://cdn.norgren.com/images/243x/PH_OT_PA2_0708025C_243.jpg,"PA2-0706025C|https://cdn.norgren.com/images/243x/PH_OT_PA2_0708025C_243.jpg|Polyamide tube, black, 25m, 6mm/4mm"
R07-200-RNEG,Fittings,C02250828,"Pneufit C push-in fitting, adaptor, straight, G1/4, 8mm",https://cdn.norgren.com/images/243x/PH_FI_C02250405_w.jpg,"C02250828|https://cdn.norgren.com/images/243x/PH_FI_C02250405_w.jpg|Pneufit C push-in fitting, adaptor, straight, G1/4, 8mm"
R07-200-RNEG,Fittings,C02470828,"Pneufit C push-in fitting, swivel adaptor, elbow, G1/4, 8mm",https://cdn.norgren.com/images/243x/PH_FI_C02470405_w.jpg,"C02470828|https://cdn.norgren.com/images/243x/PH_FI_C02470405_w.jpg|Pneufit C push-in fitting, swivel adaptor, elbow, G1/4, 8mm"
R07-200-RNEG,Fittings,C02670828,"Pneufit C push-in fitting, swivel adaptor, tee, G1/4, 8mm",https://cdn.norgren.com/images/243x/PH_FI_C02670405_w.jpg,"C02670828|https://cdn.norgren.com/images/243x/PH_FI_C02670405_w.jpg|Pneufit C push-in fitting, swivel adaptor, tee, G1/4, 8mm"
R07-200-RNEG,Gauges,18-015-990,"Gauge, R1/8 thread, 0-4 bar",https://cdn.norgren.com/images/243x/CB_Gauge_180_13_989.jpg,"18-015-990|https://cdn.norgren.com/images/243x/CB_Gauge_180_13_989.jpg|Gauge, R1/8 thread, 0-4 bar"
R07-200-RNEG,Mountings,18-025-003,07 series neck mounting brack and nut,https://cdn.norgren.com/images/243x/Neck_Mounting_Bracket_18_025_003.jpg,18-025-003|https://cdn.norgren.com/images/243x/Neck_Mounting_Bracket_18_025_003.jpg|07 series neck mounting brack and nut
