item_number,accessory_group,accessory_part_number,accessory_description,accessory_image_url,raw_value
R17-B00-RNLA,Accessories,150232818,"15 series thread connector, connector reducer, straight, R1/4, G1/8",https://cdn.norgren.com/images/243x/BSP_and_Hose_Fittings_BSP_connector_BSPT_to_BSPP.jpg,"150232818|https://cdn.norgren.com/images/243x/BSP_and_Hose_Fittings_BSP_connector_BSPT_to_BSPP.jpg|15 series thread connector, connector reducer, straight, R1/4, G1/8"
R17-B00-RNLA,Gauges,18-015-209,"Gauge, 1/4 NPT thread, 0-11 bar",https://cdn.norgren.com/images/243x/18-013_us.jpg,"18-015-209|https://cdn.norgren.com/images/243x/18-013_us.jpg|Gauge, 1/4 NPT thread, 0-11 bar"
R17-B00-RNLA,Mountings,5226-97,R17 metal panel nut,https://cdn.norgren.com/images/243x/Mounting_Nut_2962.jpg,5226-97|https://cdn.norgren.com/images/243x/Mounting_Nut_2962.jpg|R17 metal panel nut
R17-B00-RNLA,Service Kits,5578-02,"R17 service kit, relieving",https://cdn.norgren.com/images/243x/KIT-5578-02.jpg,"5578-02|https://cdn.norgren.com/images/243x/KIT-5578-02.jpg|R17 service kit, relieving"
RM/91050/M/25,Fittings,C0L510618,"Pneufit C flow regulator (in), banjo, elbow, G1/8, 6mm",https://cdn.norgren.com/images/243x/PH_FI_C0K510305_w.jpg,"C0L510618|https://cdn.norgren.com/images/243x/PH_FI_C0K510305_w.jpg|Pneufit C flow regulator (in), banjo, elbow, G1/8, 6mm"
RM/91050/M/25,Fittings,C02250618,"Pneufit C push-in fitting, adaptor, straight, G1/8, 6mm",https://cdn.norgren.com/images/243x/PH_FI_C02250405_w.jpg,"C02250618|https://cdn.norgren.com/images/243x/PH_FI_C02250405_w.jpg|Pneufit C push-in fitting, adaptor, straight, G1/8, 6mm"
RM/91050/M/25,Fittings,C02470618,"Pneufit C push-in fitting, swivel adaptor, elbow, G1/8, 6mm",https://cdn.norgren.com/images/243x/PH_FI_C02470405_w.jpg,"C02470618|https://cdn.norgren.com/images/243x/PH_FI_C02470405_w.jpg|Pneufit C push-in fitting, swivel adaptor, elbow, G1/8, 6mm"
RM/91050/M/25,Mountings,M/P71470/1,Stud or Adaptor mounting for attaching F mounting to female piston rod thread for RM/92000/M and RM/91000/M cylinders,https://cdn.norgren.com/images/243x/Mountings_QM8000_Style_A.jpg,M/P71470/1|https://cdn.norgren.com/images/243x/Mountings_QM8000_Style_A.jpg|Stud or Adaptor mounting for attaching F mounting to female piston rod thread for RM/92000/M and RM/91000/M cylinders
RM/91050/M/25,Mountings,QM/90050/22,BG - Front / Rear Flange Mounting 50mm bore,https://cdn.norgren.com/images/243x/Mountings_QM90_12_Style_BG.jpg,QM/90050/22|https://cdn.norgren.com/images/243x/Mountings_QM90_12_Style_BG.jpg|BG - Front / Rear Flange Mounting 50mm bore
RM/91050/M/25,Mountings,QM/57025/25,F - Piston Rod Clevis Mounting 25mm bore,https://cdn.norgren.com/images/243x/Mountings_QM50000_Style_F.jpg,QM/57025/25|https://cdn.norgren.com/images/243x/Mountings_QM50000_Style_F.jpg|F - Piston Rod Clevis Mounting 25mm bore
