item_number,attribute_key,attribute_label,attribute_value
R17-B00-RNLA,adjusting_knob,Adjusting Knob,Acetal
R17-B00-RNLA,adjustment,Adjustment,Knob
R17-B00-RNLA,body,Body,Aluminium alloy
R17-B00-RNLA,bonnet,Bonnet,Aluminium alloy
R17-B00-RNLA,certification__reach,Certification - REACH,SVHC substance not present
R17-B00-RNLA,certification__rohs_compliant,Certification - RoHS Compliant,Compliant
R17-B00-RNLA,certification__weee,Certification - WEEE,NonWEEE
R17-B00-RNLA,elastomers,Elastomers,Nitrile rubber (NBR)
R17-B00-RNLA,eu_country_of_origin,Country of Origin,Mexico
R17-B00-RNLA,flow_expression,Flow,"208 dm3/s, 440 scfm"
R17-B00-RNLA,gauge_port,Gauge Port,1/4 PTF
R17-B00-RNLA,inlet_pressure_expression,Inlet Pressure,"20 bar, 290 psi"
R17-B00-RNLA,medium,Medium,Compressed air
R17-B00-RNLA,mil_spec,Mil Spec,Available on request
R17-B00-RNLA,operating_temperature_expression,Operating Temperature,"-34 ... 80 °C, -29 ... 176 °F"
R17-B00-RNLA,outlet_pressure_adjustment_expression,Outlet Pressure Adjustment,"0.3 ... 8.5 bar, 4 ... 125 psi"
R17-B00-RNLA,port_size,Port Size,1-1/2 PTF
R17-B00-RNLA,regulator_type,Regulator Type,General purpose
R17-B00-RNLA,relievingnonrelieving,Relieving/Non-relieving,Relieving
RM/91050/M/25,barrel,Barrel,Anodised aluminium
RM/91050/M/25,certification__reach,Certification - REACH,SVHC substance not present
RM/91050/M/25,certification__rohs_compliant,Certification - RoHS Compliant,Compliant
RM/91050/M/25,certification__weee,Certification - WEEE,NonWEEE
RM/91050/M/25,cushioning,Cushioning,No cushioning
RM/91050/M/25,cylinder_diameter_expression,Cylinder Diameter,50 mm
RM/91050/M/25,eu_country_of_origin,Country of Origin,Czechia
RM/91050/M/25,medium,Medium,Compressed air
RM/91050/M/25,mil_spec,Mil Spec,Available on request
RM/91050/M/25,non_magnetic_or_magnetic,Non Magnetic Or Magnetic,Magnetic
